AtomicNumber,Element,Symbol,AtomicMass,NumberofNeutrons,NumberofProtons,NumberofElectrons
1,Hydrogen,H,1.007,0,1,1
2,Helium,He,4.002,2,2,2
3,Lithium,Li,6.941,4,3,3
7,Nitrogen,N,14.007,7,7,7
8,Oxygen,O,15.999,8,8,8
9,Fluorine,F,18.998,10,9,9
10,Neon,Ne,20.18,10,10,10
11,Sodium,Na,22.99,12,11,11
12,Magnesium,Mg,24.305,12,12,12
13,Aluminum,Al,26.982,14,13,13
14,Silicon,Si,28.086,14,14,14
15,Phosphorus,P,30.974,16,15,15
16,Sulfur,S,32.065,16,16,16
17,Chlorine,Cl,35.453,18,17,17
18,Argon,Ar,39.948,22,18,18
19,Potassium,K,39.098,20,19,19
20,Calcium,Ca,40.078,20,20,20
21,Scandium,Sc,44.956,24,21,21
22,Titanium,Ti,47.867,26,22,22
23,Vanadium,V,50.942,28,23,23
24,Chromium,Cr,51.996,28,24,24
25,Manganese,Mn,54.938,30,25,25
26,Iron,Fe,55.845,30,26,26
27,Cobalt,Co,58.933,32,27,27
28,Nickel,Ni,58.693,31,28,28
29,Copper,Cu,63.546,35,29,29
30,Zinc,Zn,65.38,35,30,30
31,Gallium,Ga,69.723,39,31,31
32,Germanium,Ge,72.64,41,32,32
33,Arsenic,As,74.922,42,33,33
34,Selenium,Se,78.96,45,34,34
35,Bromine,Br,79.904,45,35,35
36,Krypton,Kr,83.798,48,36,36
37,Rubidium,Rb,85.468,48,37,37
38,Strontium,Sr,87.62,50,38,38
39,Yttrium,Y,88.906,50,39,39
40,Zirconium,Zr,91.224,51,40,40
41,Niobium,Nb,92.906,52,41,41
42,Molybdenum,Mo,95.96,54,42,42
43,Technetium,Tc,98,55,43,43
44,Ruthenium,Ru,101.07,57,44,44
45,Rhodium,Rh,102.906,58,45,45
46,Palladium,Pd,106.42,60,46,46
47,Silver,Ag,107.868,61,47,47
48,Cadmium,Cd,112.411,64,48,48
49,Indium,In,114.818,66,49,49
50,Tin,Sn,118.71,69,50,50
51,Antimony,Sb,121.76,71,51,51
52,Tellurium,Te,127.6,76,52,52
53,Iodine,I,126.904,74,53,53
54,Xenon,Xe,131.293,77,54,54
55,Cesium,Cs,132.905,78,55,55
56,Barium,Ba,137.327,81,56,56
57,Lanthanum,La,138.905,82,57,57
58,Cerium,Ce,140.116,82,58,58
59,Praseodymium,Pr,140.908,82,59,59
60,Neodymium,Nd,144.242,84,60,60
61,Promethium,Pm,145,84,61,61
62,Samarium,Sm,150.36,88,62,62
63,Europium,Eu,151.964,89,63,63
64,Gadolinium,Gd,157.25,93,64,64
65,Terbium,Tb,158.925,94,65,65
66,Dysprosium,Dy,162.5,97,66,66
67,Holmium,Ho,164.93,98,67,67
68,Erbium,Er,167.259,99,68,68
69,Thulium,Tm,168.934,100,69,69
70,Ytterbium,Yb,173.054,103,70,70
71,Lutetium,Lu,174.967,104,71,71
72,Hafnium,Hf,178.49,106,72,72
73,Tantalum,Ta,180.948,108,73,73
74,Wolfram,W,183.84,110,74,74
75,Rhenium,Re,186.207,111,75,75
76,Osmium,Os,190.23,114,76,76
77,Iridium,Ir,192.217,115,77,77
78,Platinum,Pt,195.084,117,78,78
79,Gold,Au,196.967,118,79,79
80,Mercury,Hg,200.59,121,80,80
81,Thallium,Tl,204.383,123,81,81
82,Lead,Pb,207.2,125,82,82
83,Bismuth,Bi,208.98,126,83,83
84,Polonium,Po,210,126,84,84
85,Astatine,At,210,125,85,85
86,Radon,Rn,222,136,86,86
87,Francium,Fr,223,136,87,87
88,Radium,Ra,226,138,88,88
89,Actinium,Ac,227,138,89,89
90,Thorium,Th,232.038,142,90,90
91,Protactinium,Pa,231.036,140,91,91
92,Uranium,U,238.029,146,92,92
93,Neptunium,Np,237,144,93,93
94,Plutonium,Pu,244,150,94,94
95,Americium,Am,243,148,95,95
96,Curium,Cm,247,151,96,96
97,Berkelium,Bk,247,150,97,97
98,Californium,Cf,251,153,98,98
99,Einsteinium,Es,252,153,99,99
100,Fermium,Fm,257,157,100,100
101,Mendelevium,Md,258,157,101,101
102,Nobelium,No,259,157,102,102
103,Lawrencium,Lr,262,159,103,103
104,Rutherfordium,Rf,261,157,104,104
105,Dubnium,Db,262,157,105,105
106,Seaborgium,Sg,266,160,106,106
107,Bohrium,Bh,264,157,107,107
108,Hassium,Hs,267,159,108,108
109,Meitnerium,Mt,268,159,109,109
110,Darmstadtium ,Ds ,271,161,110,110
111,Roentgenium ,Rg ,272,161,111,111
112,Copernicium ,Cn ,285,173,112,112
113,Nihonium,Nh,284,171,113,113
114,Flerovium,Fl,289,175,114,114
115,Moscovium,Mc,288,173,115,115
116,Livermorium,Lv,292,176,116,116
117,Tennessine,Ts,295,178,117,117
118,Oganesson,Og,294,176,118,118
